imageLocation,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,mic.clip,mic.started,mic.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text_2.started,text_2.stopped,new_run.keys,new_run.rt,new_run.started,new_run.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
train2017_coco_4866/000000031090.jpg,0,0,0,0,0,10,10,10,,,,,,,169.683105788994,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000031090_trials_10.default,0.0017480982060078532,None,space,9.210628184999223,170.54156057999353,None,170.54156057999353,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
train2017_coco_4866/000000031273.jpg,0,0,0,0,0,11,11,11,,,,,,,180.69916798299528,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000031273_trials_11.default,0.007955907392897643,None,space,10.929877564005437,181.55833603200153,None,181.55833603200153,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
train2017_coco_4866/000000031358.jpg,0,0,0,0,0,12,12,12,,,,,,,193.43319357799191,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000031358_trials_12.default,0.004580742301186547,None,space,7.907870295006433,194.29235140999663,None,194.29235140999663,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
train2017_coco_4866/000000031913.jpg,0,0,0,0,0,13,13,13,,,,,,,203.125403869999,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000031913_trials_13.default,0.005184676207136363,None,space,11.281010232007247,203.9751898079994,None,203.9751898079994,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
train2017_coco_4866/000000031923.jpg,0,0,0,0,0,14,14,14,,,,,,,216.20014343799266,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000031923_trials_14.default,0.0036247782118152827,None,space,13.629350456001703,217.0428619509912,None,217.0428619509912,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
train2017_coco_4866/000000032061.jpg,0,0,0,0,0,15,15,15,,,,,,,231.6166339420015,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000032061_trials_15.default,0.007749347292701714,None,space,7.812857885000994,232.47536706399114,None,232.47536706399114,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
train2017_coco_4866/000000032068.jpg,0,0,0,0,0,16,16,16,,,,,,,241.22562192300393,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000032068_trials_16.default,0.005320606302120723,None,space,6.925169634996564,242.0830494690017,None,242.0830494690017,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
train2017_coco_4866/000000032129.jpg,0,0,0,0,0,17,17,17,,,,,,,249.94210253999336,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000032129_trials_17.default,0.0006312061887001619,None,space,11.895812784990994,250.8004148369946,None,250.8004148369946,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
train2017_coco_4866/000000032575.jpg,0,0,0,0,0,18,18,18,,,,,,,263.64177524599654,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000032575_trials_18.default,0.0017671521927695721,None,space,9.16439877099765,264.4918258800026,None,264.4918258800026,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
train2017_coco_4866/000000032674.jpg,0,0,0,0,0,19,19,19,,,,,,,274.5926576960046,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000032674_trials_19.default,0.007984911295352504,None,space,8.749056125001516,275.4511677279952,None,275.4511677279952,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
train2017_coco_4866/000000032932.jpg,0,0,0,0,0,20,20,20,,,,,,,285.1344965790049,None,/Users/graziano-isaac/Desktop/CANS/v2_Behavioral/data/sub-008_cans_4-2-23_2023_Apr_11_1119_mic_recorded/recording_000000032932_trials_20.default,0.0009568552195560187,None,space,13.656187536005746,285.9920200119959,None,285.9920200119959,None,,,,,,,,,sub-008,001,2023_Apr_11_1119,cans_4-2-23,2021.2.3,120.04411668156534,
